Product,Status,Current plan,Action
Organic Aleppo Soap Red Clay,ACTIVE,10%,Move 10%->15%
Fer a Cheval Marseille Soap Cube,ACTIVE,10%,Move 10%->15%
Fer a Cheval Marseille Soap Slice,ACTIVE,10%,Move 10%->15%
Scented Marseille Soaps by Savonnerie Fer a Cheval,ACTIVE,10%,Move 10%->15%
Fer a Cheval Stain Remover Stick,ACTIVE,10%,Move 10%->15%
Organic Aleppo Liquid Soap with 25% Laurel,ACTIVE,10%,Move 10%->15%
Traditional Aleppo Soap,ACTIVE,10%,Move 10%->15%
Organic Aleppo Soap 40% Laurel,ACTIVE,10%,Move 10%->15%
Organic Aleppo Soap 75% Laurel,ACTIVE,10%,Move 10%->15%
Organic Aleppo Soap 90% Laurel,ACTIVE,10%,Move 10%->15%
Organic Aleppo Soap 20% Nigella Oil,ACTIVE,10%,Move 10%->15%
Organic Tinted Mineral Face Sunscreen,ACTIVE,10%,Move 10%->15%
Organic Mineral Face Sunscreen SPF50,ACTIVE,10%,Move 10%->15%
Protective Lip Balm SPF30,ACTIVE,10%,Move 10%->15%
Organic Mineral Face and Body Sun Spray SPF50+,ACTIVE,10%,Move 10%->15%
Organic Moisturising Baby Cream,ACTIVE,10%,Move 10%->15%
Organic Liniment Diaper Change Cleanser,ACTIVE,10%,Move 10%->15%
Organic No-Rinse Cleansing Water,ACTIVE,10%,Move 10%->15%
Organic Ultra-Rich Cleansing Gel,ACTIVE,10%,Move 10%->15%
Organic Diaper Change Cream,ACTIVE,10%,Move 10%->15%
Organic Reparative Cream,ACTIVE,10%,Move 10%->15%
Organic Reparative Lotion,ACTIVE,10%,Move 10%->15%
Organic Post Tattoo Repair Cream,ACTIVE,10%,Move 10%->15%
Organic Regenerative Night Facial Cream,ACTIVE,10%,Move 10%->15%
Organic HA Rehydrating Mask,ACTIVE,10%,Move 10%->15%
Grooming Room Pet Powder Wash,ACTIVE,10%,Move 10%->15%
Wild Flowers Head to Toe Powder Wash,ACTIVE,10%,Move 10%->15%
Woodland Retreat Head to Toe Powder Wash,ACTIVE,10%,Move 10%->15%
Citrus Circus Head to Toe Powder Wash,ACTIVE,10%,Move 10%->15%
Java Jungle Head to Toe Powder Wash,ACTIVE,10%,Move 10%->15%
Coffee Spot Head to Toe Powder Wash,ACTIVE,10%,Move 10%->15%
Clear Skies Hair Oil,ACTIVE,10%,Move 10%->15%
Curl Cove Hair Oil,ACTIVE,10%,Move 10%->15%
Hidden Garden Hair Oil,ACTIVE,10%,Move 10%->15%
Hyaluronic Heaven Facial Serum,ACTIVE,10%,Move 10%->15%
Bakuchiol Bay Facial Serum,ACTIVE,10%,Move 10%->15%
Rose Valley Facial Mist,ACTIVE,10%,Move 10%->15%
Secret Oasis Facial Oil,ACTIVE,10%,Move 10%->15%
Secluded Lagoon Facial Oil,ACTIVE,10%,Move 10%->15%
